time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-10T11:44:38.648Z,48.7899,-128.7779,10,4.3,mb,45,111,0.894,0.87,us,us6000mxpx,2024-07-20T22:20:06.040Z,"213 km WSW of Tofino, Canada",earthquake,5.37,1.911,0.069,60,reviewed,us,us
2024-05-03T03:03:29.140Z,48.7806,-128.7293,10,5,mww,80,107,0.894,1.27,us,us6000mvw9,2024-07-15T03:58:17.040Z,"210 km WSW of Tofino, Canada",earthquake,5.66,1.475,0.031,99,reviewed,us,us
2024-04-18T08:40:12.653Z,50.3512,-129.9026,10,4.1,mb,40,168,1.167,1.04,us,us7000mcub,2024-06-25T21:02:59.040Z,"201 km W of Port McNeill, Canada",earthquake,8.59,1.978,0.056,88,reviewed,us,us
2024-04-18T06:41:45.795Z,50.2149,-129.8884,10,4.3,mb,78,175,1.201,0.85,us,us7000mctx,2024-06-25T21:02:58.040Z,"203 km WSW of Port McNeill, Canada",earthquake,7.53,1.99,0.045,139,reviewed,us,us
2024-04-18T06:06:04.909Z,50.2411,-129.9156,10,5.1,mww,61,162,1.208,0.49,us,us7000mctr,2024-06-26T21:26:02.040Z,"204 km WSW of Port McNeill, Canada",earthquake,6.5,1.909,0.035,79,reviewed,us,us
2024-04-17T21:46:14.711Z,50.2005,-129.9075,6.936,4.9,mww,148,160,1.217,0.52,us,us7000mcrx,2024-06-25T21:02:57.040Z,"205 km WSW of Port McNeill, Canada",earthquake,5.26,2.033,0.059,28,reviewed,us,us
2024-02-11T03:40:55.645Z,50.0993,-132.6978,10,4,mwr,46,177,3.083,0.69,us,us7000lyeb,2024-04-20T19:35:28.040Z,"west of Vancouver Island",earthquake,7.13,1.956,,,reviewed,us,pgc
2024-01-30T06:23:19.886Z,50.7224,-130.0066,10,4.2,mwr,53,148,1.195,0.87,us,us7000lux5,2024-04-13T19:27:48.040Z,"207 km W of Port McNeill, Canada",earthquake,5.14,1.905,,,reviewed,us,pgc
2024-01-09T01:41:28.313Z,50.8188,-130.0585,10,4.3,mwr,59,155,1.237,0.86,us,us6000m2ml,2024-03-16T19:00:06.040Z,"211 km W of Port McNeill, Canada",earthquake,6.16,1.763,0.05,38,reviewed,us,us
2024-01-03T17:14:06.146Z,52.5166,-132.6435,10,4.1,mwr,12,178,0.751,0.56,us,us7000ltji,2024-03-09T21:41:02.040Z,"252 km SW of Prince Rupert, Canada",earthquake,2.99,1.996,,,reviewed,us,pgc
2023-12-29T04:53:44.939Z,53.9286,-132.4416,10,3.7,ml,14,93,0.296,0.52,us,us6000m4ks,2024-03-02T21:39:31.040Z,"144 km S of Hydaburg, Alaska",earthquake,2.3,1.988,0.074,24,reviewed,us,us
2023-10-24T05:58:20.530Z,50.5667,-130.1812,10,4.5,mwr,55,146,1.307,0.59,us,us7000l5x9,2024-01-27T22:15:40.252Z,"219 km W of Port McNeill, Canada",earthquake,3.05,1.904,0.045,47,reviewed,us,us
2023-10-16T03:13:54.643Z,50.7101,-129.9313,10,4.8,mwr,102,147,1.146,0.65,us,us6000lftw,2023-12-26T21:24:21.040Z,"201 km W of Port McNeill, Canada",earthquake,6.97,1.847,0.086,13,reviewed,us,us
2023-10-11T11:15:26.731Z,50.8462,-130.2438,10,4.3,mwr,24,158,1.357,0.65,us,us7000l7uc,2023-12-16T22:13:11.040Z,"224 km W of Port McNeill, Canada",earthquake,5.77,1.981,,,reviewed,us,pgc
2023-09-17T15:19:50.386Z,50.842,-130.3324,10,4.4,mwr,38,198,1.412,1.02,us,us7000kwbk,2023-12-02T23:01:06.040Z,"230 km W of Port McNeill, Canada",earthquake,5,1.946,,,reviewed,us,pgc
2023-09-17T11:28:11.258Z,50.8131,-130.3127,10,5.5,mww,97,131,1.396,0.83,us,us7000kwaz,2023-12-02T23:01:06.040Z,"229 km W of Port McNeill, Canada",earthquake,5.95,1.862,0.027,133,reviewed,us,us
2023-09-17T09:59:00.188Z,50.9315,-130.0655,10,4.5,mwr,78,157,1.261,0.81,us,us7000kwak,2023-12-02T23:01:06.040Z,"213 km W of Port McNeill, Canada",earthquake,5.26,1.738,0.057,30,reviewed,us,us
2023-09-14T17:41:28.320Z,50.8104,-130.382,10,4.3,mwr,39,184,1.439,1.02,us,us7000kvt8,2023-11-18T22:29:34.040Z,"234 km W of Port McNeill, Canada",earthquake,8.87,1.988,,,reviewed,us,pgc
2023-09-14T17:31:07.454Z,50.9666,-130.1383,10,4.2,mwr,32,198,1.314,0.83,us,us7000kvt5,2023-11-18T22:29:34.040Z,"219 km W of Port McNeill, Canada",earthquake,7.08,1.991,,,reviewed,us,pgc
2023-08-15T12:14:50.486Z,52.6491,-132.0096,10.172,4.4,mwr,136,147,0.496,0.56,us,us6000l02p,2023-10-27T21:39:02.040Z,"216 km SSW of Prince Rupert, Canada",earthquake,6.67,1.325,0.071,19,reviewed,us,us
2023-07-05T06:19:54.197Z,50.36,-130.0483,9.135,3.1,ml,38,172,1.255,1.02,us,us6000kq5s,2023-09-09T21:54:47.040Z,"211 km W of Port McNeill, Canada",earthquake,6.62,6.271,0.074,24,reviewed,us,us
2023-07-01T09:49:31.725Z,53.6208,-133.2013,10,4.3,mwr,83,77,0.881,0.56,us,us6000kpf1,2023-09-08T14:18:32.040Z,"178 km S of Hydaburg, Alaska",earthquake,4.35,1.828,,,reviewed,us,pgc
2023-06-20T04:12:47.984Z,50.677,-129.8455,10,4.1,mb,46,175,1.091,0.82,us,us7000k9sl,2023-08-26T20:54:24.040Z,"195 km W of Port McNeill, Canada",earthquake,6.3,1.545,0.056,86,reviewed,us,us
2023-05-08T16:10:06.047Z,52.3272,-132.0576,10,4.2,mwr,139,82,0.529,0.59,us,us6000kaf3,2023-07-22T19:16:25.040Z,"249 km SSW of Prince Rupert, Canada",earthquake,5.89,1.886,0.052,35,reviewed,us,us
2023-04-19T18:56:31.548Z,49.1534,-128.8899,10,4.3,mb,102,160,1.567,0.85,us,us6000k5kt,2023-07-03T02:47:06.040Z,"205 km SW of Port McNeill, Canada",earthquake,7.45,1.914,0.045,145,reviewed,us,us
2023-04-14T15:49:05.314Z,48.7907,-129.4095,12.935,4.2,mb,25,165,0.853,0.64,us,us6000k4hp,2023-06-17T21:36:54.040Z,"259 km W of Tofino, Canada",earthquake,8.13,3.668,0.12,19,reviewed,us,us
2023-04-13T15:54:53.808Z,49.215,-129.6178,7,6,mww,228,54,1.719,0.65,us,us6000k42y,2024-01-18T19:46:49.152Z,"237 km SW of Port McNeill, Canada",earthquake,5.71,1.776,0.032,96,reviewed,us,us
2023-04-02T01:08:33.362Z,50.2742,-129.5788,10,4.4,mwr,43,155,0.994,0.92,us,us6000k1f5,2023-06-13T03:13:30.040Z,"180 km WSW of Port McNeill, Canada",earthquake,5.69,1.884,0.034,84,reviewed,us,us
2023-03-13T13:59:01.178Z,52.8084,-132.1568,10,4.2,mb,116,168,0.355,0.82,us,us7000jjj5,2023-05-20T23:20:20.040Z,"207 km SW of Prince Rupert, Canada",earthquake,6.11,1.884,0.062,73,reviewed,us,us
2023-03-12T15:31:54.185Z,48.7614,-129.5918,10,4.3,mb,45,125,0.861,0.84,us,us7000jjch,2023-05-20T23:20:18.040Z,"272 km SW of Port McNeill, Canada",earthquake,2.68,1.895,0.047,141,reviewed,us,us
2023-03-08T10:04:26.472Z,50.2338,-129.6069,10,4.3,mb,34,126,2.168,0.58,us,us7000ji4b,2023-05-15T02:50:05.040Z,"183 km WSW of Port McNeill, Canada",earthquake,5.17,1.92,0.104,26,reviewed,us,us
