"year","month","day","hour","minute","second","Lat","Long","Dep"
2024,8,3,19,35,5.46,51.426493,-130.992896,9.496
2024,8,3,20,8,56.05,51.540011,-131.309033,15.235
2024,8,3,20,48,44.2,51.427458,-130.992782,9.491
2024,8,3,21,8,50.36,51.426412,-130.992204,9.559
2024,8,3,23,17,20.99,51.252588,-131.120736,13.614
2024,8,4,0,6,27.92,51.278573,-131.155656,14.826
2024,8,4,0,30,31.78,51.200704,-130.601945,8.537
2024,8,4,1,13,19.54,51.456494,-130.735539,15.918
2024,8,4,2,48,50.2,51.082076,-130.672664,13.825
2024,8,4,3,4,6.43,51.081795,-130.673022,13.588
2024,8,4,3,6,55.78,51.02996,-130.54659,14.557
2024,8,4,3,45,37.08,50.61285,-130.344393,24.65
2024,8,4,4,26,43.77,51.26639,-130.67242,8.052
2024,8,4,4,52,43.32,51.431824,-130.987118,8.621
2024,8,4,4,53,23.95,51.42537,-130.992952,9.818
2024,8,4,5,4,0.38,51.423116,-130.993245,9.315
2024,8,4,5,46,46.1,51.42476,-130.993701,9.811
2024,8,4,7,8,55.16,51.424992,-130.992806,9.756
2024,8,4,7,38,49.91,50.885311,-130.478923,13.298
2024,8,4,9,2,28.57,50.971704,-130.62408,6.104
2024,8,4,10,53,12.44,51.215259,-131.075317,16.731
2024,8,4,12,1,15.35,51.032861,-130.624406,14.784
2024,8,4,14,10,34.44,51.037842,-130.706283,8.361
2024,8,4,16,25,36.29,51.045992,-130.581559,15.105
2024,8,4,17,11,37.86,51.021818,-130.55695,9.417
2024,8,4,17,51,53.02,51.034729,-130.711027,7.035
2024,8,4,23,26,15.94,50.709159,-130.561051,21.058
2024,8,4,23,47,45.77,51.014156,-130.537972,6.487
2024,8,5,0,11,2.18,50.89928,-129.897461,23.307
2024,8,5,4,36,6.8,51.313155,-130.779395,7.895
2024,8,5,5,9,17.49,50.929895,-130.739193,9.642
2024,8,5,13,18,10.69,51.034436,-130.614657,16.289
2024,8,5,14,59,58.26,50.639669,-130.353882,29.048
2024,8,5,21,33,9.06,51.780611,-131.386344,19.717
2024,8,5,23,44,54.38,51.123421,-130.755973,15.492
2024,8,6,3,5,38.53,51.248588,-130.743327,6.18
2024,8,6,4,37,57.69,52.041134,-131.995142,15.029
2024,8,6,5,47,2.14,51.187366,-130.615967,9.594
2024,8,6,8,17,58.28,50.93254,-130.745028,14.08
2024,8,6,9,10,5.63,51.280888,-130.74786,6.734
2024,8,6,11,44,16.27,51.532019,-131.23868,16.355
2024,8,6,18,14,29.89,51.009562,-130.551245,10.52
2024,8,6,18,29,31.25,51.112496,-130.762752,15.367
2024,8,6,21,56,42.69,51.41877,-131.032397,8.267
2024,8,6,23,43,27,50.877848,-130.669434,10.47
2024,8,7,0,31,24.81,51.417029,-131.0271,6.271
2024,8,7,1,5,37.77,51.417375,-131.028003,8.272
2024,8,7,4,50,30.11,51.331425,-131.206812,14.913
2024,8,7,5,36,41.09,52.175248,-132.114893,19.579
2024,8,7,5,54,46.98,51.346362,-131.087052,10.794
2024,8,7,8,45,3.97,50.933683,-130.247624,8.248
2024,8,7,8,52,49.71,51.207678,-131.077116,17.484
2024,8,7,9,7,15.73,50.955831,-130.564779,7.979
2024,8,7,10,23,17.98,50.97996,-130.59755,14.536
2024,8,7,11,25,18.45,51.10271,-130.588867,14.377
2024,8,7,14,30,50.77,51.237565,-130.730314,11.466
2024,8,7,16,48,47.81,50.748067,-130.554907,9.568
2024,8,7,17,1,55.85,51.254057,-130.71508,10.159
2024,8,7,17,28,26.01,51.545264,-131.283748,13.141
2024,8,7,21,26,12.39,51.41652,-131.036174,7.836
2024,8,7,22,36,47.5,50.888794,-130.49318,6.218
2024,8,8,1,25,26.58,51.485262,-130.77487,4.207
2024,8,8,7,3,30,51.353084,-131.161287,11.718
2024,8,8,11,45,15.19,51.327181,-130.787215,10.639
2024,8,8,14,44,33.93,51.50461,-130.828849,6.775
2024,8,8,16,47,6.97,51.270264,-130.743164,8.076
2024,8,8,18,56,2.87,51.539213,-131.322656,12.9
2024,8,8,21,22,4.18,51.101465,-130.586475,14.228
2024,8,8,21,51,17.11,50.817501,-130.585986,21.142
2024,8,8,22,7,57.88,51.043424,-130.596989,13.859
2024,8,9,0,10,3.94,50.619006,-130.359684,23.952
2024,8,9,2,40,51.35,51.329403,-130.678426,6.21
2024,8,9,3,11,2.58,50.980269,-130.599154,7.904
2024,8,9,8,49,24.96,50.996248,-130.596647,11.1
2024,8,9,9,49,33.92,51.259949,-130.837557,9.753
2024,8,9,11,20,22.76,50.731417,-130.516471,10.285
2024,8,9,11,31,36.06,51.827165,-131.349243,13.742
2024,8,9,12,15,21.45,51.025586,-130.54856,16.343
2024,8,9,12,22,41.93,51.017814,-130.547925,11.979
2024,8,9,12,26,33.29,50.704342,-130.433138,19.912
2024,8,9,12,27,59.61,50.986149,-130.536239,1.261
2024,8,9,12,52,50.77,50.895109,-130.705892,10.751
2024,8,9,15,24,51.49,51.058407,-130.581177,15.654
2024,8,9,16,6,26.28,51.02015,-130.685824,12.468
2024,8,9,16,58,56.62,50.96355,-130.507642,2.521
2024,8,9,20,0,36.48,51.907959,-131.688729,17.333
2024,8,9,22,50,50.32,50.892318,-130.717839,12.323
2024,8,9,23,50,57.92,50.899166,-130.723145,20.094
2024,8,9,23,54,18.62,50.89255,-130.714421,12.367
2024,8,10,2,45,13.39,50.997607,-130.557739,10.837
2024,8,10,4,48,36.62,51.356165,-130.738713,11.68
2024,8,10,5,27,44.97,51.357121,-130.745174,12.066
2024,8,10,5,57,44.54,52.053548,-132.07937,21.82
2024,8,10,6,52,47.02,51.499544,-131.298958,9.292
2024,8,10,7,23,29.97,51.499019,-131.28488,9.518
2024,8,10,9,15,16.05,51.489734,-130.788501,10.567
2024,8,10,9,26,1.22,51.488188,-130.797233,6.849
2024,8,10,9,28,23.48,51.491439,-130.789551,5.745
2024,8,10,10,48,6.23,51.499947,-130.796631,11.637
2024,8,10,10,48,27.49,51.492114,-130.767326,1.566
2024,8,10,10,54,35.61,51.495679,-130.79528,10.1
2024,8,10,10,59,10.01,51.500891,-130.796484,11.292
2024,8,10,11,31,45.38,51.488025,-130.795801,7.547
2024,8,10,12,6,18.21,51.494165,-130.78606,8.733
2024,8,10,13,20,2.19,51.011995,-130.554972,11.735
2024,8,10,15,16,49.98,51.479321,-130.817358,6.31
2024,8,10,17,41,38.32,50.591614,-130.321493,30.449
2024,8,10,18,5,28.09,51.549146,-130.831356,9.526
2024,8,10,18,19,59.86,51.733423,-131.297314,20.494
2024,8,10,19,44,48.75,51.831307,-131.029875,31.903
2024,8,10,19,54,19.52,51.822949,-131.039014,28.648
2024,8,10,20,40,39.23,51.101973,-130.596395,14.958
2024,8,10,21,5,49.36,52.135714,-131.38724,27.132
2024,8,10,22,12,33.28,51.302287,-130.689901,13.198
2024,8,10,22,25,17.71,51.475228,-130.731592,1.595
2024,8,11,0,49,55.41,51.299984,-130.690015,5.813
2024,8,11,0,50,43.16,51.307458,-130.695028,6.927
2024,8,11,5,7,30.51,51.304053,-130.686206,8.136
2024,8,11,5,17,1.62,51.002677,-130.612427,9.624
2024,8,11,5,18,26.28,50.998372,-130.606087,10.841
2024,8,11,14,54,15.79,50.977279,-130.505705,13.138
2024,8,11,16,21,56.14,50.962939,-130.502401,6.613
2024,8,11,16,54,47.94,52.334709,-131.912899,33.727
2024,8,11,18,23,3.83,50.83064,-130.507039,6.336
2024,8,11,18,34,7.74,50.838957,-130.503646,6.496
2024,8,11,19,24,50.91,51.272408,-130.881991,8.608
2024,8,11,21,12,38.16,51.354708,-130.743506,11.785
2024,8,11,23,47,46.13,51.305273,-130.692562,12.149
2024,8,12,1,11,19.57,51.309395,-131.188127,13.611
2024,8,12,1,19,8.97,51.302657,-130.708317,6.323
2024,8,12,1,38,12.72,51.297392,-130.683854,6.819
2024,8,12,2,12,1.85,51.263359,-130.688289,6.818
2024,8,12,2,24,58.9,51.29884,-130.693791,6.529
2024,8,12,3,29,30.21,50.884705,-130.491593,6.82
2024,8,12,4,59,19.66,51.436584,-130.816821,8.68
2024,8,12,6,42,31.06,50.984896,-130.619832,5.718
2024,8,12,11,33,9.03,51.05391,-130.589811,11.016
2024,8,12,11,34,50.48,51.053365,-130.589803,11.17
2024,8,12,11,41,17.39,51.053756,-130.592139,9.914
2024,8,12,11,43,25.14,51.054427,-130.589176,10.952
2024,8,12,11,45,9.3,51.056152,-130.587915,11.497
2024,8,12,12,5,58.06,51.050712,-130.59318,9.266
2024,8,12,12,7,1.11,51.055868,-130.59314,11.757
2024,8,12,12,25,39.81,51.052913,-130.588802,9.991
2024,8,12,12,34,19.83,51.082349,-130.574479,13.984
2024,8,12,12,38,3.47,51.056632,-130.586141,11.314
2024,8,12,13,0,1.96,51.347632,-131.137524,16.583
2024,8,12,13,3,56.58,51.052755,-130.586263,10.874
2024,8,12,13,34,23.68,51.054264,-130.59082,10.574
2024,8,12,14,4,47.61,51.049597,-130.593978,6.57
2024,8,12,14,32,42.26,51.41757,-131.036507,8.584
2024,8,12,15,8,13.24,51.053499,-130.59257,10.257
2024,8,12,15,46,30.11,52.151082,-132.122054,23.557
2024,8,12,16,7,0.36,51.053243,-130.593294,10.879
2024,8,12,16,11,57.67,51.041101,-130.562085,15.339
2024,8,12,16,31,47.81,51.050252,-130.60765,9.952
2024,8,12,17,8,34.84,51.052673,-130.605314,11.454
2024,8,12,17,11,1.45,51.046842,-130.605143,9.6
2024,8,12,17,12,40.46,51.050932,-130.607772,10.328
2024,8,12,17,17,58.76,51.061869,-130.611995,13.267
2024,8,12,18,17,13.55,51.719295,-131.256746,16.257
2024,8,12,18,21,49.55,51.053271,-130.585246,9.874
2024,8,12,18,32,53.8,51.304183,-130.683236,7.983
2024,8,12,18,34,22.41,51.302376,-130.686572,10.843
2024,8,12,18,39,5.2,50.75116,-130.652409,19.813
2024,8,12,18,53,5.13,51.304016,-130.686466,7.159
2024,8,12,19,3,53.2,50.750952,-130.596484,13.366
2024,8,12,19,59,26.91,51.306136,-130.689079,8.726
2024,8,12,20,21,57.16,51.058187,-130.590299,10.923
2024,8,12,20,34,33.44,51.346985,-131.173169,20.271
2024,8,12,20,38,24.53,51.351628,-131.159578,12.2
2024,8,12,21,21,32.81,51.346407,-131.167847,10.961
2024,8,12,21,25,50.5,51.094071,-130.916764,9.64
2024,8,12,21,27,3.78,51.302608,-130.692147,13.167
2024,8,12,21,28,14.81,51.302844,-130.688981,9.503
2024,8,12,21,33,15.08,51.354126,-130.680143,6.653
2024,8,12,23,20,35.98,51.346297,-131.166064,10.631
2024,8,12,23,32,8.07,51.353459,-131.162695,13.852
2024,8,12,23,34,28.56,51.348108,-131.167741,11.808
2024,8,12,23,45,1.86,51.300041,-130.688062,8.261
2024,8,13,1,15,11.76,51.056832,-130.585864,11.223
2024,8,13,1,40,54.48,51.30236,-130.689852,9.47
2024,8,13,1,41,24.93,51.300753,-130.693652,6.002
2024,8,13,2,42,50.24,51.056291,-130.585872,11.203
2024,8,13,3,25,35.66,51.34976,-131.16381,12.148
2024,8,13,3,28,31.89,51.353691,-131.164014,13.964
2024,8,13,3,33,48.32,51.36897,-130.795736,6.703
2024,8,13,3,34,50.42,51.35282,-131.166178,13.523
2024,8,13,3,38,14.87,51.333683,-131.168319,6.169
2024,8,13,4,28,3.06,51.350285,-131.164754,12.367
2024,8,13,4,35,36.95,51.340515,-131.168766,7.105
2024,8,13,5,0,13.42,51.023808,-130.640039,8.979
2024,8,13,7,32,53.2,51.304171,-130.683862,9.554
2024,8,13,7,45,29.75,52.307015,-132.635238,6.601
2024,8,13,8,41,32.55,51.023987,-130.643766,6.861
2024,8,13,9,3,33.52,50.895752,-130.710213,11.279
2024,8,13,12,39,6.07,50.88999,-130.588468,13.223
2024,8,13,12,41,39.65,51.482133,-131.287817,8.848
2024,8,13,12,45,2.35,50.741418,-130.535946,9.925
2024,8,13,13,5,7.76,51.516842,-130.824748,11.883
2024,8,13,14,27,1.13,50.976607,-130.609318,14.923
2024,8,13,21,10,35.03,51.29598,-130.674162,7.087
2024,8,13,22,57,35.36,51.057328,-130.591976,10.514
2024,8,13,23,26,50.74,51.905208,-131.249202,18.071
2024,8,13,23,27,27.77,51.907963,-131.24873,19.309
2024,8,14,0,51,26.28,51.390181,-130.742017,17.574
2024,8,14,1,44,29.74,52.15474,-131.8604,16.058
2024,8,14,1,54,0.71,51.451815,-130.783651,13.625
2024,8,14,2,11,35.68,50.965548,-130.783415,12.861
2024,8,14,2,55,42.6,51.274886,-131.137085,6.569
2024,8,14,3,46,50.46,52.146932,-132.089331,22.375
2024,8,14,5,56,2.48,51.30269,-130.688135,13.34
2024,8,14,6,0,10.58,51.300256,-130.687891,19.766
2024,8,14,6,0,50.37,51.300114,-130.680127,9.557
2024,8,14,6,12,7.61,51.278503,-130.687134,9.225
2024,8,14,8,24,16.74,51.306226,-130.689071,8.512
2024,8,14,9,5,30.64,51.096761,-130.631063,14.701
2024,8,14,9,6,59.33,51.087557,-130.639372,13.153
2024,8,14,9,17,52.03,51.306067,-130.684033,7.835
2024,8,14,10,14,8.66,50.93866,-130.606112,12.093
2024,8,14,10,18,25.86,51.304154,-130.686174,9.774
2024,8,14,10,20,1.02,51.02264,-130.631641,13.057
2024,8,14,10,34,54,50.9382,-130.606104,11.899
2024,8,14,11,38,10.33,51.281209,-131.159334,9.67
2024,8,14,11,52,0.62,50.890251,-130.479598,6.355
2024,8,14,11,53,49.94,50.909957,-130.486255,21.348
2024,8,14,12,2,36.1,51.295357,-130.69576,10.341
2024,8,14,12,24,46.69,51.441162,-131.213973,9.217
2024,8,14,13,42,12.53,52.310901,-132.657267,7.069
2024,8,14,13,55,51.05,51.026754,-130.638184,14.084
2024,8,14,14,54,13.44,51.248653,-131.1271,6.682
2024,8,14,15,47,42.06,51.043054,-130.881942,11.634
2024,8,14,16,35,13.85,51.302209,-130.686385,8.264
2024,8,14,19,11,0.73,50.647074,-130.367122,18.047
2024,8,14,20,12,18.25,50.758118,-130.463704,6.632
