#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
9G|NN24|43.732059|-121.308861|1809.7|Newberry borehole NN24, OR, USA|2012-09-01T00:00:00|2015-02-14T23:59:59
9G|NN32|43.70385|-121.327477|1679.7|Newberry borehole NN32, OR, USA|2012-09-01T00:00:00|2015-02-14T23:59:59
9G|NNVM|43.71117|-121.276878|1927.0|Newberry National Volcanic Monument, OR, USA|2012-08-01T00:00:00|2015-10-09T00:00:00
AK|BESE|58.5792|-134.8559|867.0|Bessie Mountain, AK, USA|2003-09-20T00:00:00|2599-12-31T23:59:59
AK|DCPH|59.0906|-138.2154|674.0|Deception Hills, AK, USA|2002-08-03T00:00:00|2014-06-10T23:59:59
AK|JIS|58.2758|-134.3848|10.0|Juneau Island, AK, USA|2001-04-11T00:00:00|2599-12-31T23:59:59
AK|PNL|59.667|-139.4014|586.0|Peninsula, AK, USA|2001-08-16T00:00:00|2599-12-31T23:59:59
AK|YAKA|59.5123|-139.672|8.0|Yakutat, AK, USA|2010-08-10T00:00:00|2599-12-31T23:59:59
AT|CRAG|55.468941|-133.122971|57.9|Craig, Alaska|2004-12-10T00:00:00|2599-12-31T23:59:59
AT|SIT|57.0569|-135.324402|19.0|Sitka, Alaska|1999-08-11T00:00:00|2599-12-31T23:59:59
AT|SKAG|59.460098|-135.328964|134.0|Skagway, Alaska|2004-10-13T00:00:00|2599-12-31T23:59:59
AT|YKU2|59.5121|-139.671036|10.1|Yakutat, Alaska|2009-08-26T00:00:00|2599-12-31T23:59:59
C8|BPCB|48.9236|-123.7045|31.0|Bare Point, BC, CA|2008-03-19T00:00:00|2014-06-10T23:59:59
C8|FHRB|50.0604|-127.1158|5.0|Fair Harbour, BC, CA|2009-03-12T00:00:00|2015-10-24T23:59:59
C8|MWAB|49.7411|-125.3032|1176.0|Mount Washington, BC, CA|2009-07-31T00:00:00|2599-12-31T23:59:59
C8|PA01|48.6526|-123.447|3.0|Sidney PGC North, BC, CA|2010-07-22T00:00:00|2018-12-31T23:59:59
C8|PA02|48.6518|-123.4489|3.0|Sidney PGC Ocean, BC, CA|2010-07-22T00:00:00|2016-12-31T23:59:59
C8|PA03|48.6517|-123.4448|8.0|Sidney PGC Flamable, BC, CA|2010-07-22T00:00:00|2014-12-31T23:59:59
C8|PA04|48.651|-123.4462|8.0|Sidney PGC Cage, BC, CA|2010-07-22T00:00:00|2014-12-31T23:59:59
C8|PA05|48.6497|-123.4438|8.0|Sidney PGC Willingdon, BC, CA|2010-07-22T00:00:00|2017-12-31T23:59:59
C8|PA12|48.6482|-123.4496|10.0|Sidney PGC Saanich, BC, CA|2010-07-22T00:00:00|2016-12-31T23:59:59
C8|SOKB|48.3947|-123.6731|45.0|Sooke, BC, CA|2008-03-17T00:00:00|2015-01-18T23:59:59
C8|SPLB|49.8921|-125.6526|276.0|Strathcona Park Lodge, BC, CA|2009-07-30T00:00:00|2599-12-31T23:59:59
C8|TLCB|50.546|-126.8324|-40.0|Telegraph Cove, BC, CA|2009-03-12T00:00:00|2016-11-06T23:59:59
C8|TOFB|49.1543|-125.9078|13.0|Tofino, BC, CA|2009-02-14T00:00:00|2599-12-31T23:59:59
CC|ASBU|43.82056|-121.368401|1538.0|Astronaut Butte|2011-08-17T00:00:00|2599-12-31T23:59:59
CC|CIHL|43.75097|-121.14862|1966.0|Cinder Hill, Newberry Volcano|2011-08-17T00:00:00|2599-12-31T23:59:59
CC|CLCV|42.976139|-122.088882|1892.0|Crater Lake, Cleetwood Cove, OR, USA|2012-01-09T00:00:00|2599-12-31T23:59:59
CC|CLMS|42.922958|-122.016258|2719.0|Crater Lake, Mount Scott, OR, USA|2009-08-07T00:00:00|2599-12-31T23:59:59
CC|CPCO|43.72201|-121.23319|2135.0|Central Pumice Cone, Newberry Volcano|2011-08-10T00:00:00|2599-12-31T23:59:59
CC|HUSB|44.119455|-121.849361|2038.0|The Husband|2013-08-14T00:00:00|2599-12-31T23:59:59
CC|JRO|46.27527|-122.21826|1219.0|Johnston Ridge Observatory|2004-10-02T00:00:00|2599-12-31T23:59:59
CC|KWBU|43.752399|-121.311852|1783.0|Kawak Butte|2011-08-18T00:00:00|2599-12-31T23:59:59
